id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugy98iA_yhg-JSDV3_R4AaABAg,1,2,"2021-10-07 16:06:29","mira Franka","zatím jsem nepřišel koho obvinit se zlodějství ale už jsem to zjistil protože ten člověk mě byl povědomej",UCb_7AbgxqwNe-eA5btBrvIA,http://www.youtube.com/channel/UCb_7AbgxqwNe-eA5btBrvIA,0,,
Ugy98iA_yhg-JSDV3_R4AaABAg.9TCSIfot2eY9WJCxl0rLto,,1,"2021-12-23 20:41:17",RichieLarpa,"Co tu dělají Češi?",UCJVQE1-8ctMiTOosAdX3uNg,http://www.youtube.com/channel/UCJVQE1-8ctMiTOosAdX3uNg,1,Ugy98iA_yhg-JSDV3_R4AaABAg,"mira Franka"
UgzgPMcMRxl0waZxHrt4AaABAg,0,1,"2021-10-07 16:05:12","mira Franka","každej se potřebuje presvědčit sám",UCb_7AbgxqwNe-eA5btBrvIA,http://www.youtube.com/channel/UCb_7AbgxqwNe-eA5btBrvIA,0,,
UgyCnTKlKm9T581QY5t4AaABAg,0,1,"2021-09-17 17:11:29","Melisa Hogic","Janša jajnsa",UCmpWYYLwZ-Jbayc2H0w1G2g,http://www.youtube.com/channel/UCmpWYYLwZ-Jbayc2H0w1G2g,0,,
UgwATrMS_pkAdo6QNPt4AaABAg,0,0,"2021-09-15 20:23:48","Bor Golob","Spet smo tu 2021 in ta oseba je se vedno na celu slovencev",UCxBwVsqctn9wrEez5dE9erg,http://www.youtube.com/channel/UCxBwVsqctn9wrEez5dE9erg,0,,
Ugxz3fFZWSA1F5hACWJ4AaABAg,0,7,"2021-09-12 21:15:02","KINGS LULLABY","mislim da si vecina zeli janso na golem otoku z par posiljevalci(:",UCGdrby7PeB73ylhCBSWizJA,http://www.youtube.com/channel/UCGdrby7PeB73ylhCBSWizJA,0,,
UgwqNbY0JODp3a6kNr94AaABAg,0,20,"2021-09-04 15:06:33","ZDRAVKO ŠKOFLEK","Janša, spoki se že v tri pm.",UCHxf-Pz_RLqR2Fx9oWzXBQA,http://www.youtube.com/channel/UCHxf-Pz_RLqR2Fx9oWzXBQA,0,,
UgyWffmcOjqA1gbvHHJ4AaABAg,0,3,"2021-08-28 09:48:58","mojca smrekar","Novinarka je v celoti neprofesionalna. Zakaj je sploh imela intervju z njim",UC-nD89kQ8zEwJDlbB6mMDWw,http://www.youtube.com/channel/UC-nD89kQ8zEwJDlbB6mMDWw,0,,
UgwbjuWhloswptits3B4AaABAg,0,13,"2021-07-26 17:09:09","Jurij Šober","Dobro mu je zabrusila <br>Mislim,da si ga marsikdo ne želi več poslušati,kaj šele gledati,Mafijec vedno ostane mafijec!",UC1hIbt9WlUDr42ye2ZotY0g,http://www.youtube.com/channel/UC1hIbt9WlUDr42ye2ZotY0g,0,,
UgyY3ndmugvQMeAV-xp4AaABAg,0,13,"2021-07-20 20:14:42",Gajci,"<a href=""https://www.youtube.com/watch?v=4N19wxoie_w&amp;t=0m43s"">0:43</a> Ko sošolec uniči penkalo, ki si ga je sposodil pred testom.",UCjw0CXR0tupjrKbIlv2SlLA,http://www.youtube.com/channel/UCjw0CXR0tupjrKbIlv2SlLA,0,,
UgxoenoLjA2krFZFmud4AaABAg,0,4,"2021-07-13 03:43:50","G. Realist","Smrt balkanizmu, islamizmu, PREDVSEM PA LEVEMU FASIZMU!! ZA SLOVENIJO",UC3S81XKsDN4ib5EnquHKCww,http://www.youtube.com/channel/UC3S81XKsDN4ib5EnquHKCww,0,,
